"company","job description","required qualification","location"
"JSW Steel Limited","Safety Officer Trainee. 12-month on-site role. Assist the safety department in conducting audits,  training workers,  and investigating incidents.","Diploma in Industrial Safety or B.Sc (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria.","Dolvi,  Maharashtra"
"Power Grid Corporation of India Limited","Transmission Line Maintenance Trainee. 12-month field role. Assist teams in patrolling and maintaining high-voltage transmission lines and towers.","Diploma in Electrical Engineering (EEE). Must meet PMIS age (21-24) and income (<8L) criteria.","Kolkata,  West Bengal"
"ITC Limited","Paperboard Manufacturing Trainee. 12-month role at a paper manufacturing plant. Learn pulp processing,  machine operations,  and quality testing.","Diploma in Chemical/Mechanical Engineering or B.Sc (Chemistry). Must meet PMIS age and income criteria.","Bhadrachalam,  Telangana"
"Tata Consultancy Services Limited","BPO Trainee (Healthcare). 12-month role processing healthcare claims for a US client. Learn medical terminology and data entry compliance (HIPAA).","B.Sc (Biology/Biotech) or B.Pharm (non-premier). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"HCL Technologies Limited","Network Operations Center (NOC) Trainee. Learn to monitor network alerts,  perform Level 1 troubleshooting,  and escalate incidents. 12-month role,  may involve shifts.","Diploma in Computer Science/IT or B.Sc (IT). Must meet PMIS age (21-24) and income (<8L) criteria.","Chennai,  Tamil Nadu"
"Muthoot Finance Limited","Customer Care Trainee. 12-month branch-based role. Handle customer queries,  explain financial products,  and provide administrative support.","Class 12 Pass or B.A. (any discipline). Good communication skills required. Must meet PMIS eligibility.","Ernakulam,  Kerala"
"Oil India Limited","Chemical Lab Trainee. 12-month role in a field lab. Assist in testing oil,  gas,  and water samples. Prepare chemical reagents and maintain lab equipment.","B.Sc (Chemistry). Must meet PMIS age (21-24) and income (<8L) criteria. Not from premier institute.","Duliajan,  Assam"
"Steel Authority of India Limited","Mechanical Maintenance Trainee (Workshop). 12-month role in the central workshop. Learn machining,  fitting,  and fabrication to support plant maintenance.","ITI (Fitter/Machinist) or Diploma in Mechanical Engineering. Must meet PMIS age and income criteria.","Bhilai,  Chhattisgarh"
"Kotak Mahindra Bank Limited","Loan Documentation Trainee. 12-month back-office role. Verify personal loan/home loan documents,  check for completeness,  and coordinate with sales teams.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Jaipur,  Rajasthan"
"Tech Mahindra Limited","GIS Mapping Trainee. 12-month role learning to digitize maps and update geographic data for telecom clients. Requires good computer skills.","B.A. or B.Sc (Geography/Geology) (non-premier). Must meet PMIS age (21-24) and income (<8L) criteria.","Pune,  Maharashtra"
"Northern Coalfields Limited","Electrical Maintenance Trainee (HEMM). Assist in maintaining electrical systems of large mining equipment (shovels,  dumpers). 12-month hands-on role.","Diploma in Electrical Engineering (EEE). Must meet PMIS age (21-24) and income (<8L) criteria.","Singrauli,  Madhya Pradesh"
"UltraTech Cement Limited","Logistics Trainee (Dispatch). 12-month role at the plant. Learn to manage cement dispatch,  coordinate with trucks,  and handle transport documentation.","B.Com (Logistics) or BBA (non-premier institute). Must meet PMIS age and income criteria.","Vikram Nagar,  Madhya Pradesh"
"Hero MotoCorp Limited","Engine Assembly Trainee. 12-month shop-floor role. Learn to assemble two-wheeler engines,  use pneumatic tools,  and perform quality checks.","ITI (Mechanic) or Diploma in Mechanical/Automobile Engineering. Must meet PMIS age and income criteria.","Gurugram,  Haryana"
"NHPC Limited","Power Plant Trainee (Operations). 12-month role at a hydro-power station. Learn control room operations,  monitor gauges,  and log operational data.","Diploma in Electrical/Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Uri,  Jammu and Kashmir"
"Asian Paints Limited","Quality Assurance Trainee (Lab). 12-month role in the plant lab. Test raw materials and finished paint products for quality parameters. Record findings.","B.Sc (Chemistry). Must meet PMIS age (21-24) and income (<8L) criteria. Not from premier institute.","Rohtak,  Haryana"
"IndusInd Bank Ltd","KYC Compliance Trainee. 12-month back-office role. Verify customer identity documents (Aadhaar,  PAN) for new accounts. Check for regulatory compliance.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Pune,  Maharashtra"
"Samsung India Electronics Private Limited","Maintenance Trainee (Electronics). 12-month hands-on role. Assist technicians in maintaining and repairing automated assembly line machinery (SMT machines).","Diploma in Electronics (ECE) or Mechatronics. Must meet PMIS age and income criteria.","Noida,  Uttar Pradesh"
"Mahanadi Coalfields Limited","Civil Maintenance Trainee. 12-month role assisting the civil department. Support maintenance of buildings,  roads,  and infrastructure in the colliery area.","Diploma in Civil Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Talcher,  Odisha"
"Shriram Finance Limited","Customer Relationship Trainee. 12-month branch role. Handle customer queries,  assist with loan repayments,  and provide post-disbursement support.","Class 12 Pass or B.A. (any discipline). Must meet PMIS age (21-24) and income (<8L) criteria.","Hubli,  Karnataka"
"Bandhan Bank Limited","Data Entry Trainee. 12-month back-office role. Support data entry for new account opening forms and loan applications. High accuracy required.","Class 12 Pass or B.A. (any discipline). Good typing skills required. Must meet PMIS eligibility.","Kolkata,  West Bengal"
"Ambuja Cements Limited","Operations Trainee (Production). 12-month role assisting in kiln and mill operations. Monitor control panels and support shift engineers.","Diploma in Chemical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Rabriyawas,  Rajasthan"
"Oil and Natural Gas Corporation Limited","Finance Trainee (Admin). 12-month office role. Assist the finance team with processing bills,  managing vouchers,  and data entry.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Sivasagar,  Assam"
"Maruti Suzuki India Limited","Weld Shop Operations Trainee. 12-month hands-on role. Learn robotic welding operations,  perform quality checks on welds,  and support the shop-floor team.","ITI (Welder) or Diploma in Mechanical/Automobile Engineering. Must meet PMIS age and income criteria.","Manesar,  Haryana"
"HDFC Bank Limited","Risk Management Trainee (Data Entry). 12-month back-office role. Support the risk team by collecting and entering data for analysis. High attention to detail.","B.Com or B.Sc (Stats) graduate (non-premier). Must meet PMIS age (21-24) and income (<8L) criteria.","Mumbai,  Maharashtra"
"Reliance Industries Limited","IT Support Trainee (Refinery). 12-month on-site role at the refinery complex. Provide desktop and network support to employees. Handle IT hardware.","Diploma in Computer Science/IT. Must meet PMIS age (21-24) and income (<8L) criteria.","Jamnagar,  Gujarat"
"Infosys Limited","BPO Trainee (Finance). 12-month role in the BPO division. Learn accounts payable/receivable processes for an international client. Perform data entry.","B.Com graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Bengaluru,  Karnataka"
"Tata Steel Limited","Instrumentation Maintenance Trainee. 12-month hands-on role. Assist technicians in calibrating,  testing,  and maintaining sensors and control systems in the plant.","ITI (Instrumentation) or Diploma in Instrumentation Engineering (EIE). Must meet PMIS age and income criteria.","Jamshedpur,  Jharkhand"
"Larsen and Toubro Limited","EHS Trainee (Safety). 12-month on-site role at a construction project. Assist the safety officer with tool-box talks,  site inspections,  and maintaining safety records.","Diploma in Industrial Safety or B.Sc (any discipline). Must meet PMIS age and income criteria.","Kolkata,  West Bengal"
"ICICI Bank Limited","KYC Verification Trainee. 12-month back-office role. Verify customer documents for new accounts,  check for discrepancies,  and ensure regulatory compliance.","B.Com or B.A. graduate (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Hyderabad,  Telangana"
"Hindustan Unilever Limited","Quality Control Lab Trainee. 12-month role in a factory lab. Test raw materials and finished goods (soaps,  detergents) for quality parameters.","B.Sc (Chemistry) (non-premier institute). Must meet PMIS age (21-24) and income (<8L) criteria.","Chhindwara,  Madhya Pradesh"
"Wipro Limited","Technical Support Trainee (Voice). 12-month role supporting customers with PC/laptop issues. Learn troubleshooting for hardware,  software,  and networking.","B.Sc (IT) or BCA (non-premier institute). Good communication skills required. Must meet PMIS eligibility.","Gurugram,  Haryana"
"Mahindra and Mahindra Limited","Supply Chain Trainee (Stores). 12-month role in the plant's stores department. Learn to manage inventory,  issue parts to the assembly line,  and use SAP.","B.Com or Diploma in Materials Management. Must meet PMIS age (21-24) and income (<8L) criteria.","Zaheerabad,  Telangana"
"GAIL (India) Limited","Fire & Safety Trainee. 12-month on-site role. Assist the fire and safety team,  maintain firefighting equipment,  and support safety drills.","Diploma in Fire & Safety. Must meet PMIS age (21-24) and income (<8L) criteria.","Usar,  Maharashtra"
"Bajaj Auto Limited","Vehicle Testing Trainee. 12-month role supporting the R&D/Quality team. Assist in road testing motorcycles,  logging performance data,  and component testing.","Diploma in Automobile Engineering. Must have a valid two-wheeler license. Must meet PMIS eligibility.","Pune,  Maharashtra"
"NTPC Limited","Environment Trainee. 12-month role at a thermal plant. Assist in collecting samples (air,  water),  monitoring emissions,  and maintaining environmental records.","B.Sc (Environmental Science) (non-premier). Must meet PMIS age (21-24) and income (<8L) criteria.","Korba,  Chhattisgarh"
"Axis Bank Limited","Audit Support Trainee (Branch). 12-month role assisting internal auditors. Travel to branches to check vouchers,  verify cash,  and ensure compliance.","B.Com (Accounts/Finance) (non-premier institute). Willing to travel. Must meet PMIS eligibility.","Ahmedabad,  Gujarat"
"Indian Oil Corporation Limited","Operations Trainee (LPG Bottling Plant). 12-month hands-on role. Learn bottling operations,  safety checks,  and cylinder management.","ITI (Fitter) or Diploma in Mechanical Engineering. Must meet PMIS age (21-24) and income (<8L) criteria.","Durgapur,  West Bengal"
"Hindustan Petroleum Corporation Limited","Sales Trainee (Lubes). 12-month field role. Support the sales team in visiting distributors,  retailers,  and workshops. Learn sales reporting.","BBA (Marketing) or B.Com graduate (non-premier). Must meet PMIS age and income criteria.","Chennai,  Tamil Nadu"
